,2,3,4,5,6,7,8,9,10,11
11,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.SPLIT
10,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.HIT,Move.HIT,Move.HIT,Move.STAND,Move.STAND
9,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.HIT
8,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT
7,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND
6,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT
5,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE
4,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT,Move.HIT,Move.SPLIT,Move.DOUBLE
3,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND
2,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE
