,2,3,4,5,6,7,8,9,10,11
11,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT
10,Move.SPLIT,Move.STAND,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.STAND
9,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT
8,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.STAND,Move.HIT
7,Move.HIT,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.STAND,Move.SPLIT,Move.STAND,Move.SPLIT,Move.SPLIT
6,Move.STAND,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.HIT
5,Move.STAND,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.STAND
4,Move.DOUBLE,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.SPLIT,Move.DOUBLE
3,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.STAND,Move.STAND
2,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.HIT
