,2,3,4,5,6,7,8,9,10,11
20,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.STAND,Move.HIT,Move.HIT
19,Move.HIT,Move.STAND,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE
18,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.HIT,Move.HIT
17,Move.HIT,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE
16,Move.HIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE
15,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE
14,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND
13,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE
12,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.STAND,Move.HIT
11,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.HIT
10,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE
9,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.STAND
8,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND
7,Move.HIT,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND
6,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT
5,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT
