,2,3,4,5,6,7,8,9,10,11
11,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.HIT,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND
10,Move.SPLIT,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.SPLIT
9,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE
8,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT
7,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.SPLIT
6,Move.DOUBLE,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.SPLIT
5,Move.SPLIT,Move.STAND,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.SPLIT,Move.STAND,Move.DOUBLE
4,Move.STAND,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT
3,Move.SPLIT,Move.STAND,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND
2,Move.HIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT
