,2,3,4,5,6,7,8,9,10,11
20,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
19,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
18,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
17,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE
16,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE
15,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.HIT
14,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT
13,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT
12,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE
11,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT
10,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE
9,Move.STAND,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE
8,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE
7,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.STAND
6,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE
5,Move.STAND,Move.HIT,Move.STAND,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE
