,2,3,4,5,6,7,8,9,10,11
11,Move.DOUBLE,Move.HIT,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.DOUBLE
10,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.SPLIT
9,Move.STAND,Move.SPLIT,Move.SPLIT,Move.STAND,Move.HIT,Move.HIT,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.HIT
8,Move.STAND,Move.STAND,Move.HIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT
7,Move.STAND,Move.SPLIT,Move.SPLIT,Move.HIT,Move.SPLIT,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.STAND
6,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE
5,Move.DOUBLE,Move.HIT,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.HIT,Move.HIT,Move.STAND
4,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND
3,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.STAND,Move.SPLIT
2,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE
