,2,3,4,5,6,7,8,9,10,11
11,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.SPLIT
10,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.STAND
9,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.SPLIT
8,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT
7,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.HIT
6,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE
5,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE
4,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.STAND,Move.STAND,Move.HIT
3,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.STAND,Move.STAND
2,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE
