,2,3,4,5,6,7,8,9,10,11
11,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT
10,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.SPLIT,Move.HIT,Move.SPLIT
9,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.HIT
8,Move.SPLIT,Move.HIT,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.HIT
7,Move.STAND,Move.SPLIT,Move.SPLIT,Move.HIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT
6,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE
5,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND
4,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.SPLIT,Move.STAND,Move.STAND,Move.DOUBLE
3,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.SPLIT
2,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.DOUBLE
