,2,3,4,5,6,7,8,9,10,11
11,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT
10,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.SPLIT
9,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.HIT
8,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.HIT
7,Move.STAND,Move.SPLIT,Move.SPLIT,Move.STAND,Move.SPLIT,Move.STAND,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.SPLIT
6,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.HIT,Move.DOUBLE
5,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.STAND,Move.DOUBLE
4,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE
3,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.HIT,Move.SPLIT,Move.SPLIT
2,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.DOUBLE
