,2,3,4,5,6,7,8,9,10,11
20,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
19,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
18,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND
17,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.STAND
16,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE
15,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.HIT
14,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT
13,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE
12,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT
11,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE
10,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT
9,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE
8,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE
7,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
6,Move.HIT,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT
5,Move.HIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE
