,2,3,4,5,6,7,8,9,10,11
11,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.HIT,Move.SPLIT
10,Move.STAND,Move.DOUBLE,Move.SPLIT,Move.STAND,Move.HIT,Move.STAND,Move.SPLIT,Move.HIT,Move.SPLIT,Move.DOUBLE
9,Move.STAND,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.DOUBLE,Move.DOUBLE
8,Move.SPLIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.SPLIT,Move.STAND,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.DOUBLE
7,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.SPLIT,Move.STAND,Move.SPLIT,Move.SPLIT,Move.SPLIT,Move.HIT
6,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.STAND
5,Move.HIT,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.HIT
4,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT
3,Move.SPLIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.SPLIT,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.HIT
2,Move.STAND,Move.SPLIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.SPLIT,Move.HIT
